Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
1,0,0,0.0,1,1,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
2,0,0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
3,0,0,0.0,1,1,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
4,0,0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
5,0,0,0.0,1,1,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
6,0,0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
7,0,0,0.0,1,1,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
8,0,2,1.0,0,0,0,0.0,0.5,-0.4964940668824164,-0.2222222222222222,0.0,-0.024271844660194174,-0.25
9,0,2,1.0,1,0,0,0.0,1.0,-0.5207659115426105,-0.2222222222222222,0.0,-0.04854368932038835,-0.25
10,0,2,1.0,0,1,1,0.0,1.2,-0.4054746494066882,-0.2222222222222222,0.125,-0.058252427184466014,-0.25
11,0,3,1.5,1,0,0,0.0,1.8,-0.7957119741100324,-0.3333333333333333,0.0,-0.08737864077669903,-0.375
12,0,4,2.0,0,0,1,0.0,2.6,-0.9456580366774541,-0.4444444444444444,0.125,-0.1262135922330097,-0.5
13,0,5,2.5,1,0,0,0.0,3.6,-1.3553128371089538,-0.5555555555555556,0.0,-0.17475728155339806,-0.625
14,0,5,2.5,0,0,1,0.0,4.6,-1.2788565264293419,-0.5555555555555556,0.125,-0.22330097087378636,-0.625
15,0,5,2.5,1,0,0,0.0,5.6,-1.4524002157497304,-0.5555555555555556,0.0,-0.27184466019417475,-0.625
16,0,5,2.5,0,0,1,0.0,6.6,-1.3759439050701188,-0.5555555555555556,0.125,-0.3203883495145631,-0.625
17,0,5,2.5,1,0,0,0.0,7.6,-1.549487594390507,-0.5555555555555556,0.0,-0.3689320388349514,-0.625
18,0,5,2.5,0,0,0,0.0,8.6,-1.5980312837108954,-0.5555555555555556,0.0,-0.4174757281553398,-0.625
19,0,5,2.5,1,0,1,0.0,9.6,-1.5215749730312838,-0.5555555555555556,0.125,-0.4660194174757281,-0.625
20,0,5,2.5,0,0,0,0.0,10.6,-1.695118662351672,-0.5555555555555556,0.0,-0.5145631067961165,-0.625
21,0,5,2.5,1,0,1,0.0,11.6,-1.6186623516720604,-0.5555555555555556,0.125,-0.5631067961165048,-0.625
22,0,5,2.5,0,0,1,0.0,12.6,-1.6672060409924487,-0.5555555555555556,0.125,-0.6116504854368932,-0.625
23,0,5,2.5,1,0,0,0.0,13.6,-1.840749730312837,-0.5555555555555556,0.0,-0.6601941747572815,-0.625
24,0,5,2.5,0,0,1,0.0,14.6,-1.7642934196332254,-0.5555555555555556,0.125,-0.7087378640776698,-0.625
25,0,5,2.5,1,0,0,0.0,15.6,-1.9378371089536137,-0.5555555555555556,0.0,-0.7572815533980581,-0.625
26,0,5,2.5,0,0,0,0.0,16.6,-1.986380798274002,-0.5555555555555556,0.0,-0.8058252427184466,-0.625
27,0,5,2.5,1,0,0,0.0,17.6,-2.034924487594391,-0.5555555555555556,0.0,-0.854368932038835,-0.625
28,0,5,2.5,0,0,1,0.0,18.6,-1.958468176914779,-0.5555555555555556,0.125,-0.9029126213592233,-0.625
29,0,5,2.5,1,0,1,0.0,19.6,-2.0070118662351675,-0.5555555555555556,0.125,-0.9514563106796117,-0.625
30,0,5,2.5,0,0,0,0.0,20.6,-2.1805555555555554,-0.5555555555555556,0.0,-1.0,-0.625
31,0,5,2.5,1,0,1,0.0,21.6,-2.104099244875944,-0.5555555555555556,0.125,-1.0485436893203883,-0.625
32,0,5,2.5,0,0,0,0.0,22.6,-2.277642934196332,-0.5555555555555556,0.0,-1.0970873786407767,-0.625
33,0,5,2.5,1,0,1,0.0,23.6,-2.201186623516721,-0.5555555555555556,0.125,-1.145631067961165,-0.625
34,0,5,2.5,0,0,0,0.0,24.6,-2.3747303128371087,-0.5555555555555556,0.0,-1.1941747572815533,-0.625
35,0,5,2.5,1,0,0,0.0,25.6,-2.4232740021574974,-0.5555555555555556,0.0,-1.2427184466019416,-0.625
36,0,5,2.5,0,0,1,0.0,26.6,-2.3468176914778853,-0.5555555555555556,0.125,-1.29126213592233,-0.625
37,0,5,2.5,1,0,0,0.0,27.6,-2.520361380798274,-0.5555555555555556,0.0,-1.3398058252427185,-0.625
38,0,5,2.5,0,0,1,0.0,28.6,-2.4439050701186624,-0.5555555555555556,0.125,-1.3883495145631068,-0.625
39,0,5,2.5,1,0,0,0.0,29.6,-2.6174487594390508,-0.5555555555555556,0.0,-1.4368932038834952,-0.625
40,0,5,2.5,0,0,1,0.0,30.6,-2.540992448759439,-0.5555555555555556,0.125,-1.4854368932038835,-0.625
